STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|8802196012070|8802196012070|8802196012070|샤또 라 라귄 2016|138392|170000|0||
780|8802196012124|8802196012124|8802196012124|샤또 라피트 로칠드 2010|138392|3000000|0||
780|8802196012131|8802196012131|8802196012131|샤또 라피트 로칠드 2015|138392|2700000|0||
780|8802196012193|8802196012193|8802196012193|샤토 르팽|138392|7990000|0||
780|8802196012261|8802196012261|8802196012261|샤또 마고 2018|138392|2000000|0||
780|8802196012339|8802196012339|8802196012339|샤또 무똥 로칠드 2016|138392|2300000|0||
780|8802196012421|8802196012421|8802196012421|샤또 뽕떼 까네 2017|138392|330000|0||
780|8802196012902|8802196012902|8802196012902|제라르 베르트랑 뀌베100(2019)14.5%75|130219|77000|0||
780|8802196012919|8802196012919|8802196012919|파트리샤 그린 볼캐닉 피노 누아 던디|130219|235000|0||
780|8802196013060|8802196013060|8802196013060|진로 레드와인|130219|17900|0||
780|8802196013077|8802196013077|8802196013077|크리오스 말벡|130219|20000|0||
780|8802196013084|8802196013084|8802196013084|크리오스 까베르네 소비뇽(2021)|130219|20000|0||
780|8802196013091|8802196013091|8802196013091|크리오스 토론테스|130219|20000|0||
780|8802196013138|8802196013138|8802196013138|노소트로스|130219|572000|0||
780|8802196013145|8802196013145|8802196013145|두르뜨 뉘메로 엥 로제|130219|53000|0||
780|8802196013619|8802196013619|8802196013619|필리터리 레드 리프 비달 아이스와인|130219|33000|0||
780|8802196013886|8802196013886|8802196013886|와이낫 피노그리지오|130219|19000|0||
780|8802196013893|8802196013893|8802196013893|산타레일라 로마|130219|55000|0||
780|8802196014098|8802196014098|8802196014098|꼬스 데스뚜르넬 블랑 2018|138392|380000|0||
780|8802196014135|8802196014135|8802196014135|샤또 그랑 퓌 뒤까스 2014|138392|110000|0||
780|8802196014142|8802196014142|8802196014142|샤또 그랑 퓌 뒤까쓰 2015|138392|120000|0||
780|8802196014432|8802196014432|8802196014432|샤또 뽕떼 까네 2011|138392|330000|0||
780|8802196014494|8802196014494|8802196014494|샤또 삐숑 꽁떼스 드 라랑드 1991|138392|570000|0||
780|8802196014579|8802196014579|8802196014579|샤또 삐숑 꽁떼스 드 라랑드 2010|138392|590000|0||
